S;s;i;n_fo;fo_list;Avg_fo;Std_fo
16677;6827;4;20;[488646.83999999997, 448445.3, 499210.97000000003, 490964.11, 500458.31, 531994.52, 512617.21, 479565.02999999997, 446806.60000000003, 487707.67000000004, 491237.33999999997, 480350.82, 459214.82, 484300.69, 474953.76999999996, 482619.83, 496528.02, 479715.72000000003, 513684.43, 457482.38];485325.219;21599.249203248004
21617;12807;4;20;[395945.48, 409426.97, 421643.8, 408347.92, 441477.67, 417294.65, 400516.5, 400735.69, 433992.73, 412730.71, 432367.99, 409382.58, 367575.0, 356297.78, 419735.57, 382486.91, 411486.31, 457729.21, 392233.81, 441108.13];410625.7705;24848.13858101997
19537;7867;4;20;[500077.86, 469055.54, 490257.34, 488173.01, 471491.45, 471473.16, 467665.37, 491098.31, 478721.5, 479997.34, 459453.93, 484847.8, 458693.89, 465967.62, 466625.63, 455294.86, 464457.68, 487722.88, 498865.6, 527537.53];478873.915;17613.177038355632
23177;10467;4;20;[427192.13, 382477.28, 420093.22, 412730.01, 317256.6, 399647.98, 434368.56, 410125.17, 430177.26, 416419.25, 410797.8, 423666.46, 454916.33, 410460.11, 422720.27, 404811.72, 413203.05, 407226.29, 387415.07, 411383.0];409854.378;26985.77617456875
19017;8907;4;20;[498844.2, 520080.38, 507673.76, 506073.43, 485031.85, 461122.07, 501984.7, 470110.74, 477313.79, 484374.11, 468689.71, 463188.86, 488758.22, 449790.44, 518918.21, 461092.95, 471851.74, 511667.03, 499746.47, 522916.63];488461.4645;22404.607647713307
20837;10727;4;20;[396508.32, 454367.08, 434336.33, 433982.41, 457990.3, 446312.53, 462292.25, 497857.76, 453359.97, 428500.4, 407811.35, 440775.23, 435048.33, 462507.07, 445278.82, 439003.2, 484732.79, 474935.74, 442497.44, 458206.28];447815.18;23641.256925146543
18497;12547;4;20;[467724.93, 442855.81, 481374.31, 459604.37, 474325.65, 462874.21, 474296.11, 463323.61, 456770.39, 416918.96, 428478.6, 433258.84, 424164.33, 436594.63, 488567.72, 452614.1, 466579.52, 418684.28, 408637.34, 447977.01];450281.236;23125.69748466078
20317;12547;4;20;[418817.71, 446636.95, 400798.2, 467027.9, 416265.66, 439655.12, 440931.22, 434919.44, 433984.89, 450991.92, 402239.81, 408139.01, 469532.04, 420337.92, 442580.78, 464403.38, 441562.34, 428242.26, 385282.78, 411972.77];431216.105;23154.03303842846
18757;12287;4;20;[423925.79, 475101.57, 468357.43, 452253.61, 438643.03, 479639.71, 449557.72, 415309.33, 444688.94, 453928.24, 419483.4, 455533.68, 424897.87, 463630.75, 475701.45, 447010.08, 466622.23, 424127.79, 431681.96, 409495.92];445979.525;21706.919149751
23437;6567;4;20;[405535.29, 424377.74, 401521.79, 398048.16, 375157.84, 437168.54, 420138.26, 458869.71, 391064.86, 383274.78, 396592.45, 385660.6, 356340.08, 398440.9, 361697.05, 391035.65, 458698.86, 432270.88, 422957.16, 392721.41];404578.6005;28267.018583890207
21877;7087;4;20;[431342.01, 458044.16, 473961.85, 481220.63, 429077.07, 451573.88, 427812.85, 449812.39, 422410.56, 442911.98, 447464.37, 425802.4, 462490.13, 381596.96, 441324.61, 446147.64, 450178.51, 438695.48, 417407.89, 456500.7];441788.8035;21892.78253884557
