S;s;i;n_fo;fo_list;Avg_fo;Std_fo
670;320;4;20;[23077.06, 22245.61, 23388.31, 22058.89, 22697.52, 22647.26, 21580.89, 20697.66, 20600.57, 21902.1, 22008.27, 19833.36, 21350.74, 22538.77, 22602.85, 22165.36, 22091.68, 23100.22, 22042.01, 24019.22];22132.4175;990.4986222465778
810;230;4;20;[20895.99, 20910.19, 21624.4, 20361.83, 20623.52, 19894.46, 20019.64, 20343.33, 20751.75, 21410.6, 20468.27, 20107.21, 22122.21, 21602.67, 20550.04, 20653.25, 21989.6, 21535.06, 19918.11, 21623.34];20870.2735;700.2124225605809
810;330;4;20;[21037.18, 21447.2, 20405.66, 20828.98, 19144.94, 19715.75, 20281.26, 20853.23, 20057.63, 20843.56, 18752.37, 20392.93, 19377.24, 20906.13, 18894.98, 22670.08, 23013.55, 21659.77, 18380.98, 20732.16];20469.779;1218.4087455447784
680;240;4;20;[23136.65, 21109.82, 24324.94, 25017.35, 20296.510000000002, 21324.68, 21966.77, 19662.359999999997, 21513.9, 23065.19, 23363.44, 20137.059999999998, 22604.19, 18717.449999999997, 23821.62, 25237.9, 20446.96, 23058.16, 13853.330000000002, 23352.11];21800.5195;2595.4704862296567
900;200;4;20;[19440.5, 18704.41, 16156.2, 15810.03, 17109.54, 17320.49, 18538.82, 15963.92, 16424.5, 18583.63, 17381.09, 19023.79, 18240.67, 17547.74, 16307.24, 15049.7, 18596.59, 16668.05, 15370.06, 16413.9];17232.5435;1304.3673249400706
700;410;4;20;[14234.44, 16350.66, 15382.74, 14985.66, 17043.98, 17144.02, 15372.44, 14947.67, 15296.62, 14973.79, 16681.79, 15527.2, 16552.53, 16080.83, 18032.47, 16316.83, 16978.89, 13810.07, 16099.83, 15022.91];15841.7685;1064.925945783506
870;360;4;20;[15991.19, 19485.75, 15275.52, 17746.77, 18064.48, 19939.91, 16152.35, 16536.73, 18200.29, 15864.15, 17847.73, 18749.07, 16500.83, 18293.88, 15509.13, 17508.63, 14486.61, 18685.24, 16292.27, 15659.2];17139.4865;1511.6662581795904
660;240;4;20;[20765.510000000002, 20880.76, 18440.79, 20497.839999999997, 17769.02, 19446.27, 15813.669999999998, 22277.42, 21247.579999999998, 19716.34, 25871.75, 22769.11, 20307.11, 22774.99, 24205.67, 19077.329999999998, 24104.16, 23102.46, 20779.29, 16426.89];20813.698;2603.18148963836
820;420;4;20;[19539.22, 17561.22, 17470.17, 18457.56, 18889.41, 17734.15, 15494.11, 16792.47, 18280.39, 15979.88, 17478.31, 12485.7, 16540.96, 16443.57, 18400.58, 18605.75, 15644.08, 17043.56, 17009.15, 16919.94];17138.509000000002;1544.7551263171642
810;260;4;20;[20470.6, 20910.19, 21624.4, 19861.83, 20623.52, 17753.67, 17203.19, 20343.33, 20751.75, 19120.05, 19485.48, 20107.21, 22122.21, 21602.67, 18539.0, 19763.98, 21989.6, 21535.06, 19918.11, 19623.61];20167.473;1335.015083995604
